"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"WK02"	"WK02_01"	"SD01_01"	"SD02_01"	"SD03"	"EX01"	"EX01_07"	"EX02"	"EX02_07"	"EX03"	"EX03_07"	"EX04"	"EX04_07"	"EX05"	"EX05_07"	"EX06"	"EX06_07"	"EX07"	"EX07_07"	"EX08"	"EX08_07"	"EX09"	"EX09_07"	"EX10"	"EX10_07"	"EX11"	"EX11_07"	"EX12"	"EX12_07"	"EX13"	"EX13_07"	"EX14"	"EX14_07"	"EX15"	"EX15_07"	"EX16"	"EX16_07"	"EX17"	"EX17_07"	"EX18"	"EX18_07"	"EX19"	"EX20"	"EX20_07"	"EX21"	"EX21_07"	"EX22"	"EX22_07"	"EX23"	"EX23_07"	"EX24"	"EX25"	"EX26"	"EX26_07"	"EX27"	"EX27_07"	"EX28"	"EX28_07"	"EX29"	"EX29_07"	"EX30"	"EX30_07"	"EX31"	"EX31_07"	"EX32"	"EX32_07"	"EX33"	"EX33_07"	"EX34"	"EX34_07"	"EX35"	"EX35_07"	"EX36"	"EX36_07"	"EX37"	"EX37_07"	"EX38"	"EX38_07"	"EX39"	"EX39_07"	"EX40"	"EX40_07"	"EX41"	"EX41_07"	"EX42"	"EX42_07"	"EX43"	"EX43_07"	"EX44"	"EX44_07"	"EX45"	"EX45_07"	"EX46"	"EX46_07"	"EX47"	"EX47_07"	"EX48"	"EX48_07"	"EX49"	"EX49_07"	"EX50"	"EX50_07"	"EX51"	"EX51_07"	"EX52"	"EX53"	"EX53_07"	"EX54"	"EX54_07"	"EX55"	"EX55_07"	"EX56"	"EX56_07"	"EX57"	"EX57_07"	"EX58"	"EX58_07"	"EX59"	"EX59_07"	"EX60"	"EX60_07"	"EX61"	"EX61_07"	"EX62"	"EX63"	"EX63_07"	"EX64"	"EX65"	"EX65_07"	"EX66"	"EX67"	"EX67_07"	"EX68"	"EX68_07"	"EX69"	"EX69_07"	"EX70"	"KO01"	"KO01_07"	"KO02"	"KO02_07"	"KO03"	"KO03_07"	"KO04"	"KO04_07"	"KO05"	"KO05_07"	"KO06"	"KO06_07"	"KO07"	"KO07_07"	"KO08"	"KO09"	"KO10"	"KO10_07"	"KO11"	"KO12"	"KO13"	"KO13_07"	"KO14"	"KO14_07"	"KO15"	"ZF01_CP"	"ZF01x01"	"ZF01x02"	"ZF01x03"	"ZF01x04"	"ZF01x05"	"ZF01x06"	"ZF01x07"	"ZF01x08"	"ZF01x09"	"ZF01x10"	"ZF01x11"	"ZF01x12"	"ZF01x13"	"ZF01x14"	"ZF01x15"	"ZF01x16"	"ZF01x17"	"ZF01x18"	"ZF01x19"	"ZF01x20"	"ZF01x21"	"ZF01x22"	"ZF01x23"	"ZF01x24"	"ZF01x25"	"ZF01x26"	"ZF01x27"	"ZF01x28"	"ZF01x29"	"ZF01x30"	"ZF01x31"	"ZF01x32"	"ZF01x33"	"ZF01x34"	"ZF01x35"	"ZF01x36"	"ZF01x37"	"ZF01x38"	"ZF01x39"	"ZF01x40"	"ZF01x41"	"ZF01x42"	"ZF01x43"	"ZF01x44"	"ZF01x45"	"ZF01x46"	"ZF01x47"	"ZF01x48"	"ZF01x49"	"ZF01x50"	"ZF01x51"	"ZF01x52"	"ZF01x53"	"ZF01x54"	"ZF01x55"	"ZF01x56"	"ZF01x57"	"ZF01x58"	"ZF01x59"	"ZF01x60"	"ZF01x61"	"ZF01x62"	"ZF01x63"	"ZF01x64"	"ZF01x65"	"ZF01x66"	"ZF01x67"	"ZF01x68"	"ZF01x69"	"ZF01x70"	"ZF01x71"	"ZF01x72"	"ZF01x73"	"ZF01x74"	"ZF01x75"	"ZF01x76"	"ZF01x77"	"ZF01x78"	"ZF01x79"	"ZF01x80"	"ZF01x81"	"ZF01x82"	"ZF01x83"	"ZF01x84"	"ZF01x85"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME041"	"TIME042"	"TIME043"	"TIME044"	"TIME045"	"TIME046"	"TIME047"	"TIME048"	"TIME049"	"TIME050"	"TIME051"	"TIME052"	"TIME053"	"TIME054"	"TIME055"	"TIME056"	"TIME057"	"TIME058"	"TIME059"	"TIME060"	"TIME061"	"TIME062"	"TIME063"	"TIME064"	"TIME065"	"TIME066"	"TIME067"	"TIME068"	"TIME069"	"TIME070"	"TIME071"	"TIME072"	"TIME073"	"TIME074"	"TIME075"	"TIME076"	"TIME077"	"TIME078"	"TIME079"	"TIME080"	"TIME081"	"TIME082"	"TIME083"	"TIME084"	"TIME085"	"TIME086"	"TIME087"	"TIME088"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
43			"base"	"interview"	2021-02-19 21:18:58	1	T	"20"	"Deutsch"	1																																																		2																																																																								2																																				14	27	64	34	59	18	84	62	74	9	85	57	14	28	15	55	54	70	82	61	22	6	60	36	16	76	30	26	49	44	2	45	48	13	41	83	42	47	43	20	66	53	29	51	68	35	69	71	65	24	8	21	80	38	31	11	7	81	19	77	56	73	3	32	39	50	33	25	67	79	4	23	78	58	5	72	63	10	46	52	12	17	40	75	1	37	12	10																											22							15																														2																							33		2021-02-19 21:19:59	F	F	36	66	0	0	0.8	6
44			"base"	"interview"	2021-02-19 21:20:09	1	T	"20"	"Deutsch"	1	4		4		4		4		1		4		4		4		3		4		4		4		4		4		2		4		2		4		3	2		4		1		2		1	1	1		2		3		4		2		1		2		6		2		3		4		4		4		4		2		2		4		2		2		4		1		2		3		1		2		1		2	1		1		1		3		1		1		1		1		1		1	2		1	2		1	1		4		4		1	6		3		4		2		1		1		5		4	3	7	"Geschmack"	5	2	2		7	"Ein Geruch"	3	15	27	31	67	45	68	59	57	43	5	7	62	13	11	61	58	29	2	52	35	20	21	30	65	24	12	55	56	46	49	75	28	34	41	63	54	3	37	38	9	32	26	48	51	19	10	33	69	73	36	84	16	8	47	39	76	85	15	82	17	50	42	25	60	71	40	64	6	1	66	79	74	78	81	22	70	18	80	72	14	44	77	4	23	83	53	5	10	4	6	3	2	4	2	11	5	5	3	3	3	6	2	5	4	5	2	7	4	4	2	3	2	3	2	2	7	13	3	14	14	9	4	10	5	10	6	6	5	5	2	9	9	10	4	2	4	1	5	2	4	7	2	4	7	3	5	5	2	5	5	2	2	3	1	4	4	3	4	2	3	7	3	2	3	3	2	3	10	3	2	3	17	2	2	390		2021-02-19 21:27:06	T	F	88	88	0	0	1.24	19
46			"base"	"interview"	2021-02-19 21:54:43	1	T	"23"	"Deutsch"	1											4																		1																		1					1		4												7	"Beschreibung für Dinge "											7	"Ausdruck "							7	"Kenne ich nicht "																																			1								4			3						2														2					16	69	45	29	6	15	74	25	83	71	64	35	41	28	38	21	40	80	75	23	48	72	27	14	82	2	44	73	66	12	39	47	62	81	59	31	52	53	70	85	5	54	24	13	33	34	57	19	32	26	8	77	60	42	17	55	16	3	9	1	78	18	49	63	7	20	51	67	65	30	50	84	79	22	43	36	37	58	61	11	68	4	56	46	76	10	11	11						6									8										4			7	7						16						27				17																			4					8		2			2									2				110		2021-02-19 21:56:55	F	F	30	85	0	0	0.83	5
47			"base"	"interview"	2021-02-19 22:23:13	1	T	"21"	"Deutsch "	1											4								4																																																																																																																																											17	10	6	51	74	14	67	68	81	37	59	11	60	3	82	63	47	48	84	26	75	28	76	23	21	52	38	9	45	43	22	56	1	79	55	5	34	35	71	50	83	18	7	72	4	69	77	16	30	58	13	40	46	44	42	53	33	25	27	31	65	2	57	66	19	12	15	36	41	78	29	20	49	8	54	70	80	32	17	85	61	62	24	73	39	64	9	13						2				19																																																																													28		2021-02-19 22:23:56	F	F	8	12	0	0	1.07	15
48			"base"	"interview"	2021-02-20 09:36:17	1	T	"23"	"Deutsch"	1	4		4		1		4		1		4		1		4		4		4		1		4		4		4		1		4		4		4		3	2		7	"Ekel"	1		3		3	1	1		4		2		4		2		3		1		3		4		3		7	"Keine Ahnung"	3		2		4		2		2		4		2		3		3		4		2		1		1		4		4		2	3		2		1		3		4		3		3		2		1		1	2		1	2		2	1		1		7	"Verwunderung"	1	6		6		7	"Geruch"	2		1		1		6		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	5	18	62	57	59	34	79	37	70	61	68	73	1	77	7	22	15	45	31	26	4	78	23	43	80	65	16	51	32	46	41	50	10	49	39	3	81	53	21	42	64	69	13	28	20	85	54	83	38	52	55	11	48	58	33	27	12	18	72	76	67	25	19	75	71	5	60	9	17	35	66	6	36	56	30	74	63	24	14	29	82	40	8	2	84	44	47	41	417	12	4	4	3	4	3	8	4	6	3	4	4	17	9	5	6	5	9	3	4	14	7	5	3	4	3	3	5	8	3	12	4	6	14	5	14	9	6	3	5	9	4	4	2	9	5	4	12	5	5	8	5	1352	26	2	7	9	6	14	8	5	10	3	4	6	4	3	4	16	4	5	8	17	3	3	6	10	4	10	14	5	2	4	11	9	8	542		2021-02-20 10:16:00	T	F	88	88	0	0	0.82	5
50			"base"	"interview"	2021-02-20 14:53:49	1	T	"18"	"Deutsch"	2					1										4																						5					3						1								4								4				1												1						3				2								4			2						1												1			1	1										3														4		4								3	19	51	47	26	42	71	34	8	62	64	80	3	19	78	53	36	45	22	65	56	85	30	11	57	1	7	28	31	73	43	83	37	61	18	48	52	39	41	15	69	63	12	77	13	29	10	67	20	44	70	84	82	50	25	79	16	60	72	27	14	76	6	59	49	9	2	33	38	35	40	54	74	24	46	68	75	23	81	17	55	4	58	66	21	5	32	6	10			3					6			15792								3			10				6				5				8		6						5			7		12				10		5			5						7		6	7						5							5		3					3		146		2021-02-20 19:19:24	F	F	13	87	0	0	0.87	9
51			"base"	"interview"	2021-02-20 21:49:15	1	T	"55"	"deutsch"	1	4		4		4		4		4		2		4		4		3		2		1		4		4		4		4		4		2		4		6	2		2		1		2		1	1	6		4		2		4		4		3		1		3		4		3		1		3		2		2		2		4		4		2		4		1		2		2		2		7	"Gehör"	3		1		2	1		1		3		1		1		2		1		1		1		1	2		1	1		1	1		4		4		1	6		3		7	"Geruch"	2		1		4		5		4	6	7	"Geschmack"	5	4	2		7	"Geschmack"	3	20	65	4	52	75	60	84	23	48	34	16	5	44	32	10	20	80	49	73	6	63	21	29	37	55	35	3	47	30	18	78	9	83	39	13	50	41	36	76	14	15	58	72	77	12	8	22	70	24	85	19	46	1	17	11	38	68	7	71	81	79	69	54	59	26	28	62	27	56	25	2	57	67	31	64	66	43	61	40	74	82	33	45	53	42	51	51	11	13	5	15	10	41	34	8	18	34	27	21	5	43	8	5	24	7	10	5	32	56	12	23	3	4	4	13	4	16	54	8	20	9	25	17	6	12	14	10	5	17	5	3	35	6	24	13	11	50	8	15	9	4	3	22	3	3	11	4	15	10	4	23	3	36	1	5	16	7	6	4	6	22	6	13	11	8	8	6	20	5	3	10	26	7	11	559		2021-02-20 22:10:37	T	F	88	88	0	0	0.55	3
53			"base"	"interview"	2021-02-20 22:42:02	1	T	"23"	"Deutsch"	1	1		1		4		2		1		4		4		2		4		2		3		4		4		4		2		4		4		3		6	2		4		2		4		3	1	1		4		2		1		2		1		1		3		6		5		3		3		2		4		4		2		4		1		4		3		4		2		1		1		4		2		2	1		1		1		1		1		1		1		4		2		1	2		1	1		1	1		2		1		1	6		3		3		3		1		4		5		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	21	78	5	49	44	57	56	60	16	75	3	23	40	11	10	84	41	46	34	1	30	64	76	73	4	19	12	68	71	22	18	7	33	65	31	66	80	55	63	61	70	77	15	72	81	6	58	17	79	82	48	42	27	29	8	69	53	43	38	9	67	32	25	59	52	39	85	50	45	24	62	26	37	51	28	2	14	20	21	35	36	47	83	13	74	54	32	9	6	4	10	6	7	3	5	6	5	10	3	3	6	2	4	8	6	5	4	3	3	6	30	4	2	2	4	6	5	28	4	4	9	3	3	16	3	5	2	7	6	3	3	11	12	3	3	7	10	8	5	3	3	3	4	8	7	5	4	7	9	2	3	2	3	2	2	12	2	2	4	3	5	3	8	5	2	10	3	7	4	5	2	16	2	5	457		2021-02-20 22:50:54	T	F	88	88	0	0	1.05	12
56			"base"	"interview"	2021-02-21 21:59:51	1	T																																																																																																																																																																	22	66	19	35	15	31	14	76	74	83	2	41	80	4	62	39	61	44	68	70	67	30	6	18	3	20	12	72	49	22	16	64	38	45	51	84	8	79	32	63	71	85	13	54	40	5	33	69	27	56	26	75	24	60	21	11	50	37	10	53	82	7	48	78	9	17	65	34	42	43	29	47	36	59	58	25	81	77	52	57	55	73	23	28	46	1	30																																																																																								30		2021-02-21 22:00:21	F	F	1	1	0	0	0.37	0
57			"base"	"interview"	2021-02-21 22:00:23	1	T	"49"	"deutsch "	1	4		4		4		4		7	"Aufforderung leise zu sein"	4		4		7	"Zweifel"	7	"Eine Art Nachfrage"	4		1		4		4		4		1		3		4		3		2	2		4		1		1		2	1	1		4		2		4		2		2		1		3		3		3		4		3		2		4		2		2		7	"Eine Nachfrage, wenn man etwas nicht verstanden hat"	1		4		7	"Wort nicht bekannt"	4		2		7	"Nichts, da nicht bekannt"	1		4		1		2	1		1		1		1		1		2		7	"Wort unbekannt"	1		7	"Wort nicht bekannt"	1	2		1	2		2	1		4		4		1	3		3		4		2		1		1		3		4	3	7	"Geschmack "	2	4	2		7	"Geschmack"	3	23	19	81	13	76	74	54	63	82	15	48	42	61	4	30	72	53	83	75	22	79	66	56	78	58	38	17	47	45	33	50	12	77	59	68	52	40	34	23	62	39	65	10	20	16	84	3	6	85	27	18	31	1	26	43	71	2	37	21	49	29	60	9	55	25	57	67	7	14	32	11	28	69	44	24	41	70	46	80	35	36	64	8	5	73	51	8	18	3	4	5	3	25	7	8	10	35	3	2	4	16	5	13	4	40	7	17	5	5	4	4	4	3	4	8	4	15	13	9	4	14	9	6	9	6	15	5	6	3	36	8	4	22	4	38	26	9	9	7	11	5	5	3	25	6	23	13	5	20	9	18	3	51	10	2	10	8	15	4	5	56	4	6	9	5	4	5	27	4	5	3	22	3	4	564		2021-02-21 22:16:26	T	F	88	88	0	0	0.69	3
66			"base"	"interview"	2021-02-23 12:13:41	1	T	"30"	"Deutsch"	2	6		1		3		5		3		5		1		3		2		4		6		4		4		5		1		4		4		3		6	1		1		4		1		5	3	4		2		5		6		1		2		1		6		3		5		5		5		1		1		4		4		3		4		1		2		5		1		4		4		4		1		6	5		4		6		6		6		1		4		3		2		5	6		6	5		6	2		1		6		3	2		6		5		3		3		5		5		3	4	1		1	5	6		5		4	24	7	79	49	58	22	47	34	67	26	68	80	45	42	64	72	53	50	40	14	62	57	85	36	51	21	12	84	30	46	32	81	60	5	28	52	23	82	78	10	29	16	4	20	15	75	2	56	59	8	38	9	1	43	13	17	83	41	6	74	48	77	31	27	71	61	11	19	69	24	70	65	73	55	76	35	37	44	39	54	25	33	63	3	66	18	3	9	1	0	0	1	1	0	5	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	2	1	1	0	2	0	1	0	1	0	0	1	1	0	0	5	0	1	0	0	0	1	4	64		2021-02-23 12:14:46	T	F	88	88	0	0	2.88	330
67			"base"	"interview"	2021-02-23 12:16:35	1	T	"42"	"Deutsch"	1	4		4		4		4		2		4		1		4		4		4		1		4		4		4		1		4		4		4		2	2		4		1		1		1	1	1		4		2		4		2		1		1		3		3		3		4		3		2		5		2		4		2		1		3		7	"Person"	4		2		1		1		3		3		2	1		1		1		1		1		2		1		1		1		1	2		1	1		2	1		4		2		1	6		3		4		2		1		1		5		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	31	16	67	68	47	34	75	58	43	20	60	62	11	38	33	71	76	25	29	65	85	17	61	66	50	79	77	30	28	6	8	51	1	10	4	21	32	52	45	40	64	3	42	70	13	72	27	39	54	35	56	63	81	19	59	23	74	36	49	78	22	2	41	83	48	15	26	5	31	18	69	46	9	14	80	55	44	57	24	37	84	53	12	73	82	7	74	9	3	6	5	3	3	4	3	6	5	2	5	3	3	2	7	9	5	4	5	4	23	3	39	3	4	4	4	6	8	4	3	3	3	3	3	4	4	7	2	5	6	1	13	4	11	3	4	6	3	3	3	7	3	4	4	3	2	6	3	7	4	3	3	3	3	5	6	9	6	3	5	3	7	2	3	3	2	4	5	10	2	2	3	7	4	4	396		2021-02-23 12:25:08	T	F	88	88	0	0	1.12	13
68			"base"	"interview"	2021-02-23 12:16:50	1	T	"46"	"Deutsch"	1	4		7	"fragendes Umgangswort"	7	"ein fragendes ""oder""?"	4		1		7	"fragendes Umgangswort"	4		7	"Bedeutung für ""so aber"""	7	"fragendes Umgangswort"	4		1		4		7	"Bedeutung für ""ach"" "	4		1		4		1		4		6	1		4		1		1		1	1	1		2		2		7	"Bedeutung für ""so ein Quatsch²"	2		4		4		7	"lauter Gegenstände"	4		4		7	"kenne ich nicht"	3		2		7	"anderes Wort für ""blöd"""	2		7	"Bedeutung für ""wirres Gewusel"""	7	"fragendes umgangswort"	7	"Chaotischer Zustand"	4		4		4		2		4		1		7	"sowas wie ""Hexerei"""	4		2	1		1		1		1		1		2		2		1		1		1	2		1	2		1	1		4		4		1	6		3		4		2		4		4		3		4	6	7	"Geschmacksrichtung"	4	4	2		7	"Geschmacksrichtung"	3	25	5	74	29	30	37	11	76	50	60	21	41	73	68	10	53	12	8	23	67	79	54	49	13	31	3	55	20	7	71	46	48	39	52	57	78	40	45	18	58	65	26	15	36	44	64	16	34	19	77	69	56	66	24	51	80	1	83	62	82	27	2	17	4	72	25	75	59	32	81	38	61	28	9	63	43	47	22	85	84	14	33	35	6	70	42	17	17	7	32	46	10	12	12	6	55	16	6	6	4	51	4	5	3	3	7	4	5	7	3	5	8	4	7	9	5	64	10	7	1	83	5	5	18	12	6	32	4	52	12	34	4	6	6	10	23	5	41	16	5	3	13	5	7	4	4	7	6	21	5	9	4	4	4	4	7	8	6	5	8	16	7	6	21	6	3	6	22	9	5	3	21	2	10	539		2021-02-23 12:35:18	T	F	88	88	0	0	0.67	4
69			"base"	"interview"	2021-02-23 12:17:09	1	T	"60"	"deutsch"	2	1		6		2		2		2		1		1		5		4		6		6		5		2		4		6		3		3		3		5	3		1		6		1		6	1	5		2		2		4		5		3		3		6		1		6		3		6		1		1		4		4		4		4		4		2		1		2		4		5		6		4		2	4		1		1		7	"Unterhaltung"	4		1		1		1		5		3	6		4	1		1	4		2		4		1	4		3		1		3		1		3		5		4	3	5		5	4	4		1		3	26	56	66	58	28	72	14	51	47	79	82	75	33	48	52	42	65	23	31	50	6	62	84	78	15	63	85	60	37	34	44	77	3	5	68	43	9	32	19	81	4	73	11	61	53	30	35	76	21	71	64	80	12	26	57	29	8	10	20	27	22	13	2	17	36	39	55	54	18	69	59	67	25	70	83	16	40	49	45	24	46	41	74	38	1	7	5	10	3	3	2	2	1	2	3	2	3	2	2	1	2	5	3	5	1	4	2	2	2	1	1	2	3	2	1	18	2	2	2	1	5	2	1	2	2	1	2	4	2	8	2	1	1	1	3	6	2	3	5	5	1	2	3	57	1	9	3	2	2	2	5	2	2	6	2	1	2	2	2	7	2	2	5	1	1	4	3	1	1	5	4	2	1	3	241		2021-02-23 12:22:19	T	F	88	88	0	0	1.89	68
70			"base"	"interview"	2021-02-23 12:17:14	1	T	"32"	"Deutsch"	2	1		4		1		4		1		4		4		4		4		4		1		4		4		3		3		4		3		4		2	2		4		3		1		1	1	1		4		1		4		2		1		3		5		3		5		6		3		3		4		3		2		7	"Dummheit"	1		5		3		4		2		5		1		5		4		2	1		1		1		1		1		4		4		1		1		1	2		1	1		2	1		4		2		1	6		3		4		2		1		1		6		4	6	7	"Geschmack"	5	4	2		3		3	27	59	51	49	47	21	85	7	62	43	83	56	34	4	6	1	71	64	18	24	23	52	13	12	69	32	17	72	57	60	28	27	50	22	29	77	61	36	44	54	38	53	11	5	80	9	79	26	2	65	10	40	48	68	8	30	19	46	66	42	84	74	33	16	63	15	37	58	75	41	73	39	45	35	78	81	70	31	55	20	82	25	67	14	3	76	4	7	2	6	8	5	3	5	7	4	4	3	2	3	4	4	5	3	5	2	2	2	6	3	9	3	3	9	5	3	4	2	7	8	5	12	5	4	4	2	4	7	5	7	6	4	5	4	6	3	7	4	5	6	2	3	2	8	2	8	3	8	3	3	6	3	4	9	3	6	4	3	2	3	3	2	3	4	3	2	3	12	3	2	4	5	4	3	380		2021-02-23 12:23:49	T	F	88	88	0	0	1.19	15
71			"base"	"interview"	2021-02-23 12:17:17	1	T	"24"	"Deutsch"	2	1		1		1		1		1		4		4		4		1		1		1		4		1		4		1		4		4		4		2	2		4		1		1		1	1	4		2		1		4		2		2		1		6		4		5		1		3		2		4		2		2		1		2		4		1		4		2		1		1		4		2		4	1		1		1		2		1		1		1		1		1		1	2		1	2		1	1		1		4		1	6		3		4		2		1		1		4		4	3	7	"Geschmack"	6	4	2		7	"Geschmack"	3	28	22	30	66	36	14	64	24	21	47	53	7	81	6	80	38	29	78	3	2	76	49	84	5	83	26	1	74	51	32	79	37	57	82	54	71	39	45	68	75	56	42	4	25	15	46	44	9	12	69	50	70	20	27	33	43	41	10	11	35	28	59	31	85	61	73	48	16	58	60	34	77	67	72	62	18	8	13	55	65	23	63	52	40	17	19	6	17	8	7	2	3	2	3	1	421	5	3	8	2	4	3	2	3	46	2	3	9	7	10	3	5	2	4	18	2	11	7	4	4	10	5	21	10	4	6	4	4	2	10	3	3	9	3	6	2	2	11	3	3	3	2	4	2	63	4	2	3	126	2	63	3	3	21	3	3	13	2	4	10	3	5	3	17	103	3	9	20	4	6	4	10	2	2	437		2021-02-23 12:38:42	T	F	88	88	0	0	1.11	17
72			"base"	"interview"	2021-02-23 12:17:22	1	T	"28"	"Deutsch"	2	1		1		1		3		1		1		1		4		1		1		2		3		1		1		4		1		1		4		5	1		1		1		1		1	1	1		1		3		4		2		3		3		5		5		6		3		4		4		3		7	"ein pokemon"	4		4		2		1		3		4		1		4		1		4		1		1	1		1		2		1		1		3		1		1		1		1	2		1	1		1	1		1		1		1	6		7	"farbe"	4		4		1		3		5		4	6	7	"geschmack"	5	4	3		7	"geschmack"	3	29	24	48	50	8	55	29	2	15	74	31	11	76	51	62	26	44	47	65	4	35	6	17	32	40	67	5	25	33	83	10	63	39	66	27	81	43	34	19	21	64	57	85	80	70	77	53	12	37	82	23	61	58	14	68	79	22	72	60	59	69	78	71	1	16	38	45	3	56	41	28	52	13	42	49	36	18	75	20	30	84	9	7	46	54	73	3	8	3	3	2	4	2	1	2	4	3	2	3	1	2	2	6	7	2	2	3	4	2	2	2	3	1	3	3	2	5	2	3	7	4	3	3	3	2	3	4	7	4	3	3	2	4	3	2	4	9	5	2	2	4	2	3	1	3	5	4	3	2	3	4	3	3	2	8	2	3	2	3	6	4	3	1	2	2	3	4	8	2	3	1	9	1	3	283		2021-02-23 12:22:12	T	F	88	88	0	0	1.63	35
73			"base"	"interview"	2021-02-23 12:17:32	1	T	"44"	"deutsch"	2	1		1		1		4		1		4		4		4		4		4		1		4		1		4		1		4		4		4		3	2		4		1		1		1	1	4		3		2		4		2		1		1		3		3		4		1		4		2		4		2		4		1		3		4		3		4		4		1		1		4		4		3	1		1		1		1		1		1		1		1		1		1	3		1	2		2	1		1		2		1	6		3		4		2		1		1		4		4	3	4		4	4	2		4		3	30	48	26	67	25	16	18	34	32	15	71	69	44	83	20	76	12	38	66	40	50	21	73	2	5	65	37	43	31	63	60	36	30	85	56	13	46	57	79	42	8	72	28	19	22	49	75	35	45	68	54	23	55	6	81	53	1	61	62	84	7	33	10	59	41	11	70	82	51	39	74	4	29	14	64	9	47	52	27	24	58	3	17	80	78	77	14	12	8	8	3	6	4	6	5	3	6	3	3	3	4	13	4	9	4	5	4	5	7	4	5	3	3	5	3	5	4	4	6	3	3	4	9	3	6	12	2	7	5	3	5	4	9	5	5	9	3	2	3	5	11	6	5	5	2	4	3	4	3	4	4	11	6	4	3	5	3	3	3	4	6	4	21	4	3	3	4	3	6	3	9	4	10	5	418		2021-02-23 12:25:18	T	F	88	88	0	0	1.04	10
74			"base"	"interview"	2021-02-23 12:17:36	1	T	"58"	"deutsch"	1	4		4		1		4		1		4		4		4		4		4		1		4		4		4		1		7	"ablehnung"	2		4		2	2		4		4		1		1	1	4		4		2		4		2		2		1		7	"unordnung"	4		7	"unordnung"	2		3		2		4		2		2		1		4		4		4		4		2		4		4		2		1		2	1		2		4		1		1		2		3		1		1		1	2		1	1		2	1		1		2		1	6		5		7	"geruch"	2		1		4		5		4	5	7	"geschmack"	6	4	2		4		5	33	46	55	74	33	21	22	15	37	44	24	57	70	5	48	84	2	30	64	43	6	51	73	41	61	38	49	16	17	78	9	36	10	42	63	52	4	71	65	1	66	67	53	7	31	19	81	56	77	18	11	32	14	12	69	23	39	8	76	29	85	80	13	28	82	34	60	20	79	25	40	59	3	50	75	45	62	72	47	35	54	83	68	26	27	58	38	17	6	5	5	3	12	11	6	4	6	3	7	3	10	3	8	16	6	3	8	5	6	13	6	7	5	3	4	16	8	4	3	7	24	4	22	3	10	4	4	3	6	11	7	5	9	11	3	8	4	4	4	3	4	3	13	3	11	4	8	3	5	4	5	5	6	16	4	5	5	8	3	4	34	4	6	6	4	3	4	11	7	4	5	6	12	3	501		2021-02-23 12:28:20	T	F	88	88	0	0	0.82	4
75			"base"	"interview"	2021-02-23 12:17:37	1	T	"34"	"Deutsch"	2	1		1		4		4		1		4		7	"Erschöpfung"	4		7	"Erstaunt sein"	4		1		4		1		4		4		7	"Geruch"	2		7	"Geschmack"	6	2		7	"Gestank"	1		1		1	1	1		1		2		4		2		1		2		4		5		6		1		3		2		7	"Verwirrung"	2		1		4		2		4		4		4		2		1		1		2		4		2	1		1		1		1		1		2		1		1		1		1	2		2	2		3	1		2		2		1	6		3		7	"Gestank"	2		1		1		3		4	6	7	"Geschmack"	4	4	2		7	"Geschmack"	6	32	2	81	61	69	9	14	28	53	18	59	73	64	4	11	50	39	40	41	36	68	75	8	16	27	34	83	22	52	60	24	72	1	37	44	54	23	43	80	84	21	45	55	6	48	56	66	62	3	31	67	74	10	71	15	46	79	65	42	82	58	85	25	12	38	20	47	33	70	77	19	29	26	76	35	63	17	30	5	13	32	51	78	49	7	57	20	46	12	10	6	7	2	4	17	10	29	5	4	4	3	5	6	13	7	16	3	5	15	33	4	6	5	6	8	7	8	3	5	9	8	5	6	5	10	5	23	5	5	7	6	4	7	5	5	4	5	4	7	5	5	3	6	3	7	5	6	7	6	16	6	3	6	3	4	4	6	3	5	6	16	5	3	5	5	5	3	18	12	4	5	16	4	6	519		2021-02-23 12:29:09	T	F	88	88	0	0	0.76	2
