Buchtitel	Autor
Der große Traum	Felipe Ugalde
Der Huträuber	Susana Sutherland de la Cruz, Rafael Vivas
Der kleine Bär besucht seine 7 Freunde	Daniela Kulot
Der kleine Bär hilft seinen Freunden	Julia Hubery, Caroline Pedler
Der kleine Bär und seine Freundin	Else Holmelund Minarik
Der kleine Biber und sein großer Nagezahn	Amy MacDonald, Sarah Fox-Davies
Der kleine Blumenkönig	Kvèta Pacovská
Der kleine König baut einen Turm	Andreas und Hedwig Munck
Der kleine Oskar und das neue Baby	Jane Chapman
Der kleine Polarforscher	Sonja Bougaeva
Der kleine Ritter, der den Regen nicht mochte	Gilles Tibo, Geneviève Després
Der kleine Siebenschläfer. Gleich ist alles wieder gut	Sabine Bohlmann, Kerstin Schoene
Der kluge kleine Hase	Michael Escoffier, Éléonore Thuillier
Der kultivierte Wolf	Becky Bloom, Pascal Biet
Der Nachtrugeler	Johannes Lott
Der Nebelmann	Tomi Ungerer
Der Panther im Paradies	Martin Karau
Der Paradiesvogel	Marcus Pfister
Der rollende Kürbis	Junia Wonders, Daniela Volpari
Der rote Regenschirm	Ingrid und Dieter Schubert
Der Seiltänzer	Àlex Tovar, Àfrica Fanlo
Der Struwwelpeter	Heinrich Hoffmann
Der Traum vom Wald	Ayano Imai
Der verliebte Koch	Verena Hochleitner
Der Wechstabenverbuchsler im Zoo	Mathias Jeschke, Karsten Teich
Der wilde Arthur oder macht nix!	Monika Weitze, Leonard Erlbruch
Der Zauberling	Binette Schroeder
Die Bademeisterbande	Stephanie Schneider, Lena Ellermann
Die Baumhausdetektive	Katja Königsberg, Jan Saße
Die blaue Bank	Albert Asensio
Die Böckchen-Bande im Altersheim	Björn F. Rörvik, Gry Moursund
Die Böckchen-Bande im Schwimmbad	Björn F. Rörvik, Gry Moursund
Die Bremer Stadtmusikanten	Gebrüder Grimm
Die Entstehung der Gürteltiere	Rudyard Kipling, Ulrike Möltgen
Die Farben	Fredrik Vahle, Helme Heine
Die freche Hexe und das Zauberpony	Katja Frixe, Lisa Hänsch
Die freche Hexe und die verschwundene Freundin	Katja Frixe, Lisa Hänsch
Die Geschichte vom Herrn Vogel	Piret Raud
Die Geschichte vom kleinen Siebenschläfer, der nicht aufwachen wollte	Sabine Bohlmann, Kerstin Schoene
Die Geschichte vom Löwen, der nicht bis drei zählen konnte	M. Baltscheit
Die Geschichte vom Löwen, der nicht kochen konnte	M. Baltscheit
Die Geschichtenmaschine	Tom McLaughlin
Die große Rallye	Jochen Stuhrmann
Die große Wörterfabrik	Agnès de Lestrade, Valeria Docampo
Die Häschenschule	Fritz Koch-Gotha, Albert Sixtus
Die Hugis. Der neue Pullover	Oliver Jeffers
Die irrste Katze der Welt. Wie alles begann	Gilles Bachelet
Die kleine Gans, die aus der Reihe tanzt	Jean-Francois Dumont
Die kleine Hummel Bommel und die Liebe	Britta Sabbag, Maite Kelly, Joelle Tourlonias
Die kleine Marmeladenfee. Um die Wette - fertig, los!	Véronique Witzigmann, Caren Zacharias Bjarke
Die kleine Zoogeschichte	René Schack
Die Krankenhausbande	Stephanie Schneider, Lena Ellermann
Die lustige Grille	J.Z. Novák, V. Kubasta
Die Mäuschenschule	Adolf Holst, Else Wenz-Vietor
Die Nachbarn aus der Dingsda-Straße	Cristina Zafra
Die Olchis auf Klassenfahrt	Erhard Dietl
Die Olchis und der blaue Nachbar	Erhard Dietl
Die Olchis. Ein Drachenfest für Feuerstuhl	Erhard Dietl
Die Reise	Aaron Becker
Die riesen Riesengeschichte ... wo Berge Geschichten erzählen	Dan Wiener, Andrey Fedorchenko
Die Sache mit Nummer 8	Harriet Grundmann, Tobias Krejtschi
Die Schneemacher	Marsha Diane Arnold, Renata Liwska
Die schönsten Silbengeschichten vom Reiterhof zum Lesenlernen	Loewe
Die Schule der magischen Tiere	Margit Auer
Die Schule der Prinzessinen. Dana lernt reiten	Judith Allert, Florentine Prechtel
Die Seefahrt nach Rio mit James Krüss	Ulrik Schramm
Die Suche	Aaron Becker
Die supergeheime Pfötchen-Gäng. Das knifflige Kröten-Duell	Katja Alves, Marta Balmaseda
Die Träne des Einhorns	Bettina Göschl, Leonie Daub
Die völlig verrückte Hunde-Olympiade	Raoul Krischanitz
Die Zeit	Was ist was, Band 8
Die zwei Dörfer	Eric Battut
Dieses Buch wird nicht lustig	Cirocco Dunlap, Olivier Tallec
Dirk und Birk und dazwischen das Meer	Maria Nilsson Thore
Dr. Brumm steckt fest	Daniel Napp
Drachen haut ab!	Catherine Leblanc, Roland Garrigue
Drei Freunde und das Geheimnis der Buchstaben	Christian Loeffelbein
Drei Freunde. Der Weg ist das Ziel	Nicholas Oldland
Du bekommst ein Geschwisterchen, kleiner Spatz	Katja Reider, Sebastien Braun
Du piepst doch nicht richtig! (Das Hofkonzert)	Rose & Modartis
Du träumst wohl?	Susann Opel-Götz
Dupps macht happs!	Polly Dunbar
Echte Helden hüpfen hoch	Alice Pantermüller, Christiane Hansen
Edler Ritter Federico	Catharina Valckx
Ein Blatt im Wind	José Sanabria, María Laura Díaz Domínguez
Ein Fohlen geht zur Schule	Usch Luhn
Ein Fohlen kommt zur Welt	Usch Luhn
Ein ganz besonderer erster Schultag	Christina Koenig
Ein Hoch auf die Minihelden	Olivier Tallec
Ein Hund mit Pfiff	Christa Ludwig
Ein Hund namens Bär	Diane und Christyan Fox
Ein Känguru im Klassenzimmer	Matthias von Bornstädt
Ein kleines Krokodil mit ziemlich viel Gefühl	Daniela Kulot
Ein Kuss für jeden	Sarah Massini, Smriti Prasadam-Halls
Ein Lied für Lorkie	Dean Bowen, Jennifer Castles
Ein Schwein im Kindergarten	Johanna Thydell, Charlotte Ramel
Ein toller Schulanfang. Erste Schulgeschichten	Sabine Kalwitzki
Eine Biene zu viel	Andrés Pi Andreu, Kim Amate
Eine Geschichte ohne Ende. Ein Bilderbuch aus Brasilien	Marcelo Pimentel
Eine Liebeserklärung an dich - Für alle kleinen und großen Mädchen	 Paris Rosenthal, Amy Krouse Rosenthal 
Eine mondlose Nacht	Geffen, Keret, Polonsky
Eine Spürnase auf vier Pfoten	Katja Reider, Alexander Bux
Elmar Elch und der Hase, der vom Himmel fiel	Markus Grolik
Elsa und der Bär	Adrien Albert
Elsa und der Zauber der Eisblumen	THiLO
Emma isst	Jutta Bauer
Emma kauft ein 	Alice Melvin
Emma wohnt	Jutta Bauer
Emoji der Film. Der grosse Ausbruch	Cordelia Evans
Endlich Schule!	Meyer, Lehmann, Schulze
Endlich wieder Oma-Tag!	Alison Ritchie, Alison Edgson
Engel braucht Hilfe	Ingrid und Dieter Schubert
Er kam mit der Couch	David Slonim
Erdbeerinchen Erdbeerfee. Ein geheimnisvolles Geschenk	Stefanie Dahle
Erik rettet die Wikinger	Milka Huckebein, Andrea Dölling
Ernest und Célestine. Célestines Entdeckung	Gabrielle Vincent
Erpel liebt Ente	René Gouichoux, Marc Boutavant
Ersatzhasi	Abigail Rayner, Greg Stones
Es schnurrt und schnattert, surrt und flattert	Edith Schreiber-Wicke, Carola Holland
Etwas Schwarzes	Reza Dalvand
Extra Garn	Mac Barnett, Jon Klassen
Filu im Schnee	Marcus Pfister
Findus und der Hahn im Korb	Sven Nordqvist
Finger weg von diesem Buch	Andy Lee, Heath McKenzie
Fips der kleine Nasenbär	Sybille Hein
Fisch entwischt	Jack Tickle
Frau Meier, die Amsel	Wolf Erlbruch
Frau Schnecke sucht ein neues Haus	Andrea Schüze, Joelle Torulonias
Fred und Marie	Gabi Neumayer, Wilfried Gebhard
Freundinnengeschichten	Antonia Michaelis
Frieda und Mandarine	Will Gmehling, Anna Höglund
Friedemann	Sabine Büchner, Simone Hennig
Fünf Angstbären und ein unheimlicher Gast	Paul Bright, Jane Chapman
Ganz schön super	Nanna Prieler
Ganz weit weg	Frank Viva
Gar nicht Un-Geheuer	Lena Hach
Gedicht für einen Goldfisch	Jean-Pierre Siméon, Olivier Tallec, Franz Hohler
Geschichten vom Seehund Matti	THiLO, Dorothea Ackroyd
Glücksstadt	Andreas Steinhöfel, Sabine Wilharm
Gott, der Hund und ich	Will Gmehling, Wiebke Oeser
Greta Gans	Petr Horácek
Greta Glühwürmchen	Jane Clarke, Britta Teckentrup
Große Tatzen, kleine Tatzen	Galia Bernstein
Grossvater, Kleinvater	Edward van de Vendel, Ingrid Godon
Großvaters Bäume	Lane Smith
Grummelbär will schlafen	Marni McGee, Sean Julian
Grüne Bande	Martin Baltscheit
Guck gack ga! Wer kommt denn da?	Gökce Irten
Gut gemacht, Bummelschaf!	Caroline Jayne Church
Gut gemacht, kleiner Bär!	Martin Waddell, Barbara Firth
Guten Tag, kleines Schweinchen	Janosch
Hallo, Sophie!	DK
Hamstermonster	Susanne Löhlein, Henning Löhlein
Hans und Hase	Isabel Pin
Hase Hugo hat Schluckauf	Sophie Schmid
Hatschi	Cally Stronk, Judith Drews
Hatschi!	Chiara Carrer, Elizabeth Duckett
Hektor und Omamascha. Der Aufräumtag	Annette Roeder, Yayo Kawamura
Hendrik zieht nicht um	Marian De Smet, Mattias De Leeuw
Henriette Bimmelbahn	James Krüss, Lisl Stich
Herr Eichhorn und der erste Schnee	Sebastian Meschenmoser
Herr Eichhorn und der König des Waldes	Sebastian Meschenmoser
Herr Eisbär will nach Hause	Ronojoy Ghosh
Herr Hase und Frau Bär. Die lustige Schlittenfahrt	Christa Kempter, Frauke Weldin
Herr Nashorn macht Urlaub	Raphael Baud, Aurélie Neyret
Herr Schnuffels	David Wiesner
Herr Stumm	Jeahouk Cha, Eunyoung Choi
Heut schlafe ich bei Omama	Barbara Joosse, Jan Jutte
Heute schlafe ich bei Opa	Cecilia Torudd
Hexe Alma verhext sich	Cornelia Funke, Naeko Ishida
Hexe Lilli und der verzauberte Goldesel	Knister
Hexe Lilli. Ein zauberhafter erster Schultag	Knister
Hexlein!	Helga Bansch
Hier kommt Mama Muh	Jujja Wieslander, Sven Nordqvist
Hier kommt Walter!	Tina Holland
Hilde	Anna Walker
Himmelskönig	Nicola Davies
Hoppelpoppel, wo bist du?	Hans Fallada
Ich bin aber größer als du!	Ingrid Huber, Sabine Wiemers
Ich bin der Beste!	Lucy Cousins
Ich bin der kleine Mutiger	Günther Jakobs
Ich bin ein Wolf, sagt Hase	Jadwiga Kowalska
Ich bin gern ich!	Sabina Altermatt, Mattea Gianotti
Ich bin nicht müde, Mama Bär	Amy Hest, Lauren Tobia
Ich bin nicht wie die anderen	Janik Coat
Ich finde was… Im Spielzeugland	Walter Wick
Ich geb immer auf dich Acht. Gute Nacht!	Regina Schwarz, Julia Dürr
Ich ging in Schuhen aus Gras	Heinz Janisch, Hannes Binder
Ich hab dich lieb, Opa!	Jillian Harker, Daniel Howarth
Ich mach dich gesund, sagte der Bär	Janosch
Ich sehe was... Kunterbunte Bilderrätsel	Jean Marzollo, Walter Wick
Ich will ein Cowgirl sein	Jeanne Willis, Tony Ross
Ich will!	Maria L. Giraldo, Nicoletta Bertelle
Ichmagnicht… oder wie der Mann Envälitä auf die Katze kam	Marjaleena Lembcke, Julia Neuhaus
Ida und das Gürkchen	Brigitte Jünger, Julia Dürr
Ida und der freche Kater	Sabine Ludwig
Ida und der verflixte Einkauf	Sabine Ludwig
Igel Ignatz und der Schatz im Ententeich. Wo hat man so was schon gesehen?	Dirk Hennig
Im Baum hockt ein Pudel	Nanna Prieler
Im Reich des Schlafes	Aurélie Capobianco, Xu Hualing
In den Steppen Australiens	Leszek Mech, Wladyslaw Nehrebecki, Alfred Ledwig
In einer weißen Winternacht	Jean E. Pendziwol, Isabelle Arsenault
Irgendwohin oder der Tag, an dem George das Fliegen lernte	Gus Gordon
Ist da ein Freund?	Albin Michel Jeunesse
Ist Ida da?	Antonie Schneider, Julie Völk
Jacques der Schakal	Pamela Schäfer, Christine Mohr
Jakob das Krokodil	Claudia de Weck, Georg Kohler
Jim Knopf und Prinzessin Li Si	Beate Dölling, Mathias Weber
Jojo und die Dschungelbande. Abenteuer am großen Fluss	Usch Luhn, Astrid Henn
Jojo. Kleiner Hund mit Bärenmut	Jan Birck, Bengt Birck
Juli Löwenzahn. Schatzsuche im Möhrenbeet	Andreas H. Schmachtl
Kalle und Elsa. Ein Sommerabenteuer	Jenny Westin Verona, Jesús Verona
Kalt erwischt. Ein Wintermärchen	Anja Fröhlich, Gergely Kiss
Kannst du hexen, Mina Liebling?	Sine van Mol, Carianne Wijffels
Karlinchen. Ein Kind auf der Flucht	Annegert Fuchshuber
Kater Carter fährt zur See	Tim Wynne-Jones, Eric Beddows
Katzengeschichten	Marlene Jablonski
Keentied oder die Kunst, ins Glück zu fliegen	Miriam Koch
King-Kong. Das Geheimschwein	Kirsten Boie
King-Kong. Das Krimischwein	Kirsten Boie
King-Kong. Das Liebesschwein	Kirsten Boie
Klara Gluck	Emma Levey
Kleine Ente Namenlos	Isolde Stark, Steffi Bluhm
Kleine Eule ganz allein	Chris Haughton
Kleine Giraffe in großer Gefahr	Matthias von Bornstädt
Kleiner Dodo. Bester Freund	Serena Romanelli, Hans de Beer
Kleiner Eisbär. Lars und der Angsthase	Hans de Beer
Kleiner Hase Tom	Martin Waddell, Barbara Firth
Knuddeln verboten!	Tiziana Bendall-Brunello, John Bendall-Brunello
Komm, wir finden einen Schatz	Janosch
Krümel und Fussel. Allein unter Schafen	Judith Allert, Joelle Tourlonias
Kuckuck Uhu	Éric Battut
Lara und die freche Elfe tanzen Ballett	Anja Kiel, Elke Broska
Lara und die freche Elfe. Prinzessinenzauber	Anja Kiel, Elke Broska
Lasse, Luna und die goldene Blume	Tracey Corderoy, Sophie Allsopp
Laura	Binette Schroeder
Leila legt los!	Andrea Hensgen, Katja Jäger
Lena und die spukigen Gruselinos	Isabel Abedi, Joelle Tourlonias
Liebe Prinzessin, ich bin's, Dein Prinz!	Simak Büchel, Fides Friedeberg
Lieber, lieber Pulli	Erna Kuik
Lieblingstiere am Meer	Coppenrath
Liese und Böb. Wenn lieb und böse sich begegnen	Soheyla Sadr
Lina, Wuschel und das Chaoszimmer	Ulrike Fischer, Manfred Tophoven
Line. So aufregend ist mein Tag	Kerstin Löwe, Eleonore Gerhaher
Lisa wartet auf den Bus	Sven Nordqvist
Lisa will einen Hund	Helga Bansch
Lola glänzt	Irene Gunnesch, Heide Stöllinger
Lotte in New York	Doris Dörrie, Julia Kaergel
Lotte langweilt sich	Doris Dörrie, Julia Kaergel
Löwe oder Gürteltier?	Chiara Armellini
Ludwig, der Weltraumhund	Henning Löhlein
Luftigruß	Maja Kastelic
Lulu liebt Lesen	Jessica Spanyol
Lyra ist ganz heimlich	Marie Norin, Emma Adbage
Mama Muh räumt auf	Jujja und Thomas Wieslander
Mama, da steht ein Bär vor der Tür!	Sabine Lipan, Manuela Olten
Margarete Tausendschön	Gaelle Callac 
Margarethe geht	Ralf Schlatter
Mascha und der Bär. Ein neuer Freund für Mascha	Egmont Balloon
Mattis und das klebende Klassenzimmer	Silke Schlichtmann
Mattis und die Sache mit den Schulklos	Silke Schlichtmann
Matze vor, tanz ein Tor!	Anne-Kathrin Behl
Maulwurfstadt	Torben Kuhlmann
Medusenkind	Kitty Crowther
Mehr Bär!	Kenn Nesbitt, Troy Cummings
Mein Buch, mein Freund, ein Abenteuer	Jane Blatt, Sarah Massini
Mein Freund, der Baggerführer	Katja Reider, Christian Zimmer
Mein liebstes Pony Flocke. Allerbeste Freunde	Carola von Kessel
Mein Rucksack ist mein Haus	Maria Stalder
Mein Weg mit Vanessa	Kerascoet
Meine kleine Katze	Britta Teckentrup
Meine liebsten Wintergeschichten	Christa Kempter, Anna Karina Birkenstock
Meine Omi, die Wörter und ich	Nikola Huppertz, Elsa Klever
Mia schläft woanders	Pija Lindenbaum
Mias Bohne	Stephanie Schneider, Astrid Henn
Mikropolis	Michael Frowin, Joelle Tourlonias
Mimi kleine Ballerina	Helga Bansch
Minitou. Freunde für immer	Sandra Grimm, Sussanne Szesny
Mirabells Zaubermähnen und das letzte Einhorn	Ann-Katrin Heger, Dorothea Ackroyd
Mister Kanister und die Lila Giraffe	Kristin Lohmann
Mog und Bunny	Judith Kerr
Molly und die Ungeheuer der Nacht	Chris Wormell
Monster. Kauf uns, wenn du dich traust	Élise Gravel
Monsterbesuch	Catarina Knüvener
Morkels Alphabet	Stian Hole
Mouk hat Langeweile	Marc Boutavant
Mozart und Robinson und der gefährliche Schiffbruch	Gundi Herget, Nikolai Renger
Muh macht die Maus	Jon Lycett-Smith
Mumin und der erste Schnee	Tove Jansson
Mur und die Blaubeere	Kaisa Happonen, Anne Vasko
Mutig, mutig	Lorenz Pauli, Kathrin Schärer
Na so was?	Tomi Ungerer
Nalle liebt Oma	Stina Wirsén
Nelli Spürnase und die verschwundenen Bücher	Julia Donaldson, Sara Ogilvie
Nenn mich nicht Mama!	Marianne Dubuc
Neon Leon	Jane Clarke, Britta Teckentrup
Nibbels das Büchermonster	Emma Yarlett
Nicolas, wo warst du?	Leo Lionni
Nie ohne mein Buch!	Barney Saltzberg, Fred Benaglia
Niko	Rotraut Susanne Berner
Nun schlaft	Regina Schwarz, Julia Dürr
Nusret und die Kuh	Anja Tuckermann, Mehrdad Zaeri, Uli Krappen
Oh, oh, Oktopus	Elle van Lieshout, Erik van Os, Mies van Hout
Oh, wie schön ist Panama	Janosch
Oje, ein Buch!	Lorenz Pauli, Miriam Zedelius
Ole kann nicht schlafen	Karl Rühmann, Lena Hesse
Olivia in Venedig	Ian Falconer
Oma Henni erzählt vom Nilpferd, das Schluckauf hatte	Christine Beigel, Hervé Le Goff
Oma Pauli muss mit!	Barbara van den Speulhof
Opa Bär und sein langer bunter Schal	Gillian Heal, Angela Holzmann
Opas Engel	Jutta Bauer
Oskar und der sehr hungrige Drache	Ute Krause
Osman, der Angler	Anne Hofmann
Otto die kleine Spinne	Guido van Genechten
Paddington ist krank	Michael Bond, Karen Jankel
Papa ist glücklich	Alain le Saux
Paul, das Schlafschaf	Martina Badstuber, Martin Gries
Paula kann Fahrrad fahren	Katja Reider, Franziska Harvey
Pauli und Molli. Geisterstunde	Stephanie Trabitzsch
Paulinchen Mutkaninchen	Daniel Kratzke
Pauls magische Reise	Aleksandra Artymowska
Peer und der Piratenfluch	Ulli Schubert, Angela Fischer-Bick
Perlinchen. Ich bin anders, na und!	Natascha Ochsenknecht, Bianca Faltermeyer
Peter und der Wolf	Sergej Prokofjews
Peter und der Wolf	Sergej Prokofiev
Peters Wutzauber	MAKI, Eva Rust
Petterson und Findus. Eine Geburtstagstorte für die Katze	Sven Nordqvist
Pferdchen lauf Galopp	Eva-Johanna Rubin
Pfoten hoch!	Catharina Valckx
Picknick mit Torte	Thé Tjong-Khing
Pino Pfote. Ab die Post	Tor Freeman
Pippilothek??? Eine Bibliothek wirkt Wunder	Lorenz Pauli, Kathrin Schärer
Post für den Tiger	Janosch
Prinz Henry kommt in die Schule	Caryl Hart, Laura Ellen Anderson
Prinzessin Hannibal	Melanie Laibl, Michael Roher
Prinzessin Pompeline traut sich	Brigitte Minne, Trui Chielens
Professor Knacks' verflixt-verrückte Reise um die Welt	Dirk Hennig
Professor Murkes streng geheimes Lexikon der ausgestorbenen Tiere, die es nie gab	Andrea Schomburg, Dorothee Mahnkopf
Puzzle Ponys	Christa Ludwig
Quatschparade. Witzig, seltsam, wunderbar	Eric Carle
Rat mal, was das ist	Guido van Genechten
Räuberkinder	Antje Damm
Raus aus den Federn	Anke de Vries
Riesenparty für den Tiger	Janosch
Ritter Moritz zur Mondhellen Burg	Annett Stütze, Britta Vorbach
Robbi und das neue Buch	Mireille d'Allancé
Robert will jetzt!	Tracey Corderoy, Tim Warnes
Rosa. Eine Wanne sieht rot	Sabine Büchner
Ruben und Robinia	Nancy Walker-Guye, Maren Briswalter
Rufus die farbige Fledermaus	Tomi Ungerer
Sandmännchen wo bleibst du?	Thais Vanderheyden
Schhh… Das Buch vom Schlaf	Il Sung Na
Schlaf gut	Tatia Nadareischwili
Schlaf gut! 	Heidi Wittlinger
Schlafen ist das Schönste auf der Welt	Miro Poferl
Schlemihl und Schneck	Susanne Laschütza
Schnipselgestrüpp	Julia Friese, Christian Duda
Schnitzeljagd. Ein Rätselbilderbuch	Markus Spang
Schon gehört?	Baltscheit & Schwarz 
Schulweggeschichten	Christina Koenig
Schwein gehabt! Lustige Tiergeschichten	Ulrike Kaup
Schweinchen müssen draußen bleiben	Sophie Schmid
Sicher unterwegs im Straßenverkehr!	Was ist was, Band 14
Sieh mal an, was der rote Faden kann!	Sabine Lohf, Yvonee Hergane
So war das!	Daan Remmerts de Vries, Philip Hopman
Sonne	Sam Usher
Spannende Abenteuer für Jungs	Ulli Schubert, Chiara Maifeld, Frauke Nahrgang
Spriedel	Antoinette Portis
Starke Mädchen-Geschichten zum Lesenlernen	Carlsen 
Sternenstaub	Nancy Walker-Guye, Alessandra Micheletti
Superhund schnuppert Frühlingsluft	Rapharty
Supermann im Supermarkt	Arne Rautenberg, Eva Muggenthaler
Suppe, satt, es war einmal	Kristina Andres
Tafiti und der geheimnisvolle Kuschelkissendieb	Julia Boehme, Julia Ginsbach
Tafiti. Heute bin ich du!	Julia Boehme, Julia Ginsbach
Tagebuch eines Wombat	Jackie French, Bruce Whatley
Tatze und die Eispiraten. Eisbärengeschichten	Christina Koenig
Tausche kleine Schwester gegen…	Daniela Kulot
Theo will Kirschen	Steffi Wöhner
Tiffi von Flausch. Ein Kuschelkätzchen für Mia	Pip Jones, Ella Okstad
Tiffi von Flausch. Kuddelmuddel mit Katze	Pip Jones, Ella Okstad
Tilda Apfelkern und ein ganz besonderer Gast	Andreas H. Schmachtl
Timmy und der Piratenschatz	Anna Blume
Tirade, Pomade… ich versteh nix, wie schade	Katja Kamm
Tokkis Reise	Till Penzek, Julia Neuhaus
Tom und Timmi... richtig dicke Freunde!	Nicola Killen
Tommi trödelt!	Anne Hassel, Barbara Korthues
Toms erster Polizeieinsatz	Michaela Hanauer, Christian Zimmer
Trau dich, du Elch!	Nicholas Oldland
Treppauf, Treppab... oder die Alterstreppe	Rose Lagercrantz, Eva Eriksson
Troll und Oliver	Adam Stower
Typisch Erdferkel	Dorothee Haentjes, Mathias Weber
Udo braucht Personal	Jana Heinicke, Joelle Tourlonias
